stop_name,latitude,longitude
Cecina,43.310311,10.514157
Pianabella Di Montelibretti,42.103440,12.632412
PESENTI/TIBURTINA,41.932137,12.599443
TIBURTINA/ZOE FONTANA,41.934304,12.608046
DUE MACELLI/MIGNANELLI,41.904513,12.483539
GUASTA,41.763580,12.477210
GREGORIO VII/CIVICO 10,41.897986,12.450562
Acqua Acetosa,41.794052,12.616687
Sassone,41.783559,12.626030
Santa Maria delle Mole,41.774280,12.606198
Villa Claudia,41.484329,12.617121
Padiglione,41.513379,12.629453
Campo di Carne,41.552086,12.635170
Aprilia,41.592390,12.639172
Marechiaro,41.471421,12.612612
Monterotondo,42.064038,12.595821
Rocca d'Evandro - San Vittore,41.438915,13.910208
Civita Castellana-Magliano,42.346537,12.453874
Viterbo Porta Fiorentina,42.425319,12.106186
Viterbo Porta Romana,42.411977,12.110498
Tre Croci,42.331394,12.086212
Orte,42.437602,12.409050
Oriolo,42.166841,12.138469
Capranica - Sutri,42.245221,12.157207
Vetralla,42.304585,12.089137
Bracciano,42.103692,12.173063
Velletri,41.682436,12.780804
Valle Aurelia,41.902878,12.441388
Orbetello-Monte Argentario,42.450873,11.248659
Follonica,42.926683,10.755765
Campiglia Marittima,43.017211,10.586486
Anguillara,42.067263,12.294045
Serenissima,41.899993,12.557863
Palmiro Togliatti,41.903331,12.574194
Tor Sapienza,41.905879,12.587851
La Rustica Città,41.910153,12.609624
La Rustica U.I.R.,41.912549,12.621819
Nuovo Salario,41.955429,12.510332
Bagni di Tivoli,41.949579,12.722305
Manziana - Canale Monterano,42.128262,12.134942
Lanuvio,41.673722,12.689815
Cancelliera,41.711022,12.621626
Albano Laziale,41.726437,12.657916
Colle Mattia,41.832729,12.728395
Villetta,41.738874,12.649438
Castel Gandolfo,41.746896,12.652244
Pantanella,41.779934,12.633931
Sant'Eurosia,41.675054,12.751590
San Gennaro,41.674599,12.726246
Campoleone,41.642308,12.648574
Cisterna di Latina,41.586524,12.827579
Sezze Romano,41.495568,13.038402
Priverno-Fossanova,41.421682,13.186832
Monte San Biagio,41.345934,13.347036
Formia,41.258835,13.606202
Minturno-Scauri,41.257584,13.720850
Frosinone,41.625280,13.328627
FLAMINIA/CANTALUPO,41.954898,12.484540
FLAMINIA/TOR DI QUINTO,41.951968,12.484661
FLAMINIA/MONTEROSI,41.951018,12.480726
FLAMINIA/CAPPELLI R.,41.949768,12.478951
FLAMINIA/MORLUPO,41.947811,12.475594
FLAMINIA/NITTI,41.946291,12.473407
FLAMINIA/BEVAGNA,41.944299,12.472055
C.SO FRANCIA/FLAMINIA,41.940730,12.470782
TOR DI QUINTO/RIANO,41.937106,12.469628
MOZART/SIBELIUS,41.912178,12.563835
MOZART/BADILE,41.914187,12.562363
ORTUCCHIO/PACENTRO,41.936713,12.650361
LGT THAON DI REVEL/FORO ITALICO,41.931100,12.462859
LGT THAON DI REVEL/ROMANO,41.933328,12.465266
FLAMINIA/CALDERINI,41.931266,12.467816
FLAMINIA/CARRACCI,41.929502,12.468500
FLAMINIA/RENI,41.927791,12.469218
FLAMINIA/VIGNOLA,41.924990,12.470358
FLAMINIA/FRACASSINI,41.922918,12.471209
LITORANEA/VARCO 5,41.658611,12.414410
DEL FIOCCO/VALLE GIULIA,41.913686,12.480619
VICTOR HUGO/MUSEO BILOTTI,41.912981,12.483451
VICTOR HUGO/MUSEO BILOTTI,41.913334,12.482804
DEL FIOCCO/VALLE GIULIA,41.913781,12.481055
REPUBBLICA (MA),41.902503,12.497125
