Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIALE LIEGI,all'intersezione semaforizzata con,PIAZZA UNGHERIA,PIAZZA UNGHERIA,,3,0,0,1,12.49246,41.92244,,,,,0,NON DECEDUTO
Strada Urbana,VIALE LIEGI,all'intersezione semaforizzata con,PIAZZA UNGHERIA,PIAZZA UNGHERIA,,3,0,0,1,12.49246,41.92244,,,,,0,NON DECEDUTO
Strada Urbana,VIALE LIEGI,all'intersezione semaforizzata con,PIAZZA UNGHERIA,PIAZZA UNGHERIA,,3,0,0,1,12.49246,41.92244,,,,,0,NON DECEDUTO
Strada Urbana,VIALE LIEGI,all'intersezione semaforizzata con,PIAZZA UNGHERIA,PIAZZA UNGHERIA,,3,0,0,1,12.49246,41.92244,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
Strada Urbana,VIA PIER PAOLO PASOLINI,all'intersezione con,VIA TRIONFALE,VIA TRIONFALE,,0,0,0,2,12.41605,41.94961,Autovettura privata,In marcia / fermata / arresto,Renault,Megane,0,
Strada Urbana,VIA PIER PAOLO PASOLINI,all'intersezione con,VIA TRIONFALE,VIA TRIONFALE,,0,0,0,2,12.41605,41.94961,Autovettura privata,In marcia / fermata / arresto,Fiat,Dobl�,0,
Strada Urbana,VIA DEL FORTE TRIONFALE,in corrispondenza,,del civico n.,,1,0,0,2,12.43334,41.93945,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Scarabeo,0,NON DECEDUTO
Strada Urbana,VIA DEL FORTE TRIONFALE,in corrispondenza,,del civico n.,,1,0,0,2,12.43334,41.93945,Autovettura privata,In marcia / fermata / arresto,Nissan,Note,0,
Strada Urbana,VIA DEL FORTE TRIONFALE,in corrispondenza,,del civico n.,,1,0,0,2,12.43334,41.93945,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two,0,
Strada Urbana,VIA PONZIO COMINIO,all'intersezione con,PIAZZA DEI CONSOLI,PIAZZA DEI CONSOLI,,0,0,0,4,12.55850,41.86148,Autovettura privata,In marcia / fermata / arresto,Kia,Picanto,0,
Strada Urbana,VIA PONZIO COMINIO,all'intersezione con,PIAZZA DEI CONSOLI,PIAZZA DEI CONSOLI,,0,0,0,4,12.55850,41.86148,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster,0,
Strada Urbana,VIA PONZIO COMINIO,all'intersezione con,PIAZZA DEI CONSOLI,PIAZZA DEI CONSOLI,,0,0,0,4,12.55850,41.86148,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster,0,
Strada Urbana,VIA PONZIO COMINIO,all'intersezione con,PIAZZA DEI CONSOLI,PIAZZA DEI CONSOLI,,0,0,0,4,12.55850,41.86148,Autovettura privata,In marcia / fermata / arresto,Dacia.,Duster,0,
,VIA SUVERETO,in prossimit�,,del civico n.,,0,0,0,2,12.51717,41.95523,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
,VIA SUVERETO,in prossimit�,,del civico n.,,0,0,0,2,12.51717,41.95523,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,VIA ANSELMO CIAPPI,all'intersezione con,VIA FILIPPO TAJANI,VIA FILIPPO TAJANI,,0,0,0,3,12.45600,41.86065,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva,0,
Strada Urbana,VIA ANSELMO CIAPPI,all'intersezione con,VIA FILIPPO TAJANI,VIA FILIPPO TAJANI,,0,0,0,3,12.45600,41.86065,Autovettura privata,In marcia / fermata / arresto,Fiat,600,0,
Strada Urbana,VIA ANSELMO CIAPPI,all'intersezione con,VIA FILIPPO TAJANI,VIA FILIPPO TAJANI,,0,0,0,3,12.45600,41.86065,Autovettura privata,In marcia / fermata / arresto,Fiat,600,0,
Strada Urbana,VIA DI GENEROSA,da specificare,,,prossimit� intersezione Via Bosco delgi Arvali,1,0,0,1,12.42586,41.83673,,,,,0,NON DECEDUTO
Strada Urbana,VIA DI GENEROSA,da specificare,,,prossimit� intersezione Via Bosco delgi Arvali,1,0,0,1,12.42586,41.83673,Autovettura privata,In marcia / fermata / arresto,Peugeot,107,0,
Strada Urbana,VIA CONCA D'ORO,in prossimit�,,del civico n.,,0,0,0,2,12.52553,41.93985,Autovettura privata,In marcia / fermata / arresto,Honda,Jazz,0,
Strada Urbana,VIA CONCA D'ORO,in prossimit�,,del civico n.,,0,0,0,2,12.52553,41.93985,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,VIA SALARIA,all'intersezione con,VIA DEI PRATI FISCALI,VIA DEI PRATI FISCALI,,0,0,0,1,12.50623,41.96277,Autovettura privata,In marcia / fermata / arresto,BMW,320D,0,
Statale entro l'abitato,VIA SALARIA,all'intersezione con,VIA DEI PRATI FISCALI,VIA DEI PRATI FISCALI,,0,0,0,1,12.50623,41.96277,Autovettura privata,In marcia / fermata / arresto,Mercedes,A 180,0,
,PIAZZALE ADRIATICO,in prossimit�,,del civico n.,,0,0,0,2,12.53595,41.93990,Autovettura privata,In marcia / fermata / arresto,Citroen,C4,0,
,PIAZZALE ADRIATICO,in prossimit�,,del civico n.,,0,0,0,2,12.53595,41.93990,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Beverly,0,
,NUOVA CIRCONVALLAZIONE INTERNA,da specificare,,,dir.S.Giovanni 300 mt. prima svinc.Monti Tiburtini,1,0,0,0,12.52770,41.92239,Autovettura privata,In marcia / fermata / arresto,Renault,Twingo,0,NON DECEDUTO
Strada Urbana,VIA UGO OJETTI,all'intersezione con,VIA DOMENICO COMPARETTI,VIA DOMENICO COMPARETTI,,0,0,0,2,12.55742,41.94976,Autovettura privata,In marcia / fermata / arresto,Mini,One,0,
Strada Urbana,VIA UGO OJETTI,all'intersezione con,VIA DOMENICO COMPARETTI,VIA DOMENICO COMPARETTI,,0,0,0,2,12.55742,41.94976,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa,0,
Strada Urbana,VIA DELLE ISOLE CURZOLANE,all'intersezione con,VIA CAPRAIA,VIA CAPRAIA,,0,0,0,2,12.53194,41.94885,Autovettura privata,In marcia / fermata / arresto,Ford,Mondeo,0,
Strada Urbana,VIA DELLE ISOLE CURZOLANE,all'intersezione con,VIA CAPRAIA,VIA CAPRAIA,,0,0,0,2,12.53194,41.94885,Autovettura privata,In marcia / fermata / arresto,Suzuki,Ignis,0,
,VIA DELLA BUFALOTTA,da specificare,,,pross. VIA M. CERMENATI,2,0,0,1,12.54978,41.96725,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart For Two,0,NON DECEDUTO
,VIA DELLA BUFALOTTA,da specificare,,,pross. VIA M. CERMENATI,2,0,0,1,12.54978,41.96725,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra,0,
,VIA DELLA BUFALOTTA,da specificare,,,pross. VIA M. CERMENATI,2,0,0,1,12.54978,41.96725,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra,0,NON DECEDUTO
Strada Urbana,VIA VALLE SCRIVIA,in prossimit�,,del civico n.,,0,0,0,1,12.52670,41.94359,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
,VIA DEI MONTI TIBURTINI,in prossimit�,,del civico n.,,1,0,0,0,12.53135,41.92057,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300,0,NON DECEDUTO
Strada Urbana,VIA DEI MONTI TIBURTINI,da specificare,,,direz.Lanciani rampa immissione da via Caraci,0,0,0,2,12.52871,41.92138,Veicolo speciale,In marcia / fermata / arresto,Iveco Magirus,(non accertato),0,
Strada Urbana,VIA DEI MONTI TIBURTINI,da specificare,,,direz.Lanciani rampa immissione da via Caraci,0,0,0,2,12.52871,41.92138,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
,VIA ADAMELLO,da specificare,,,.,1,0,0,2,12.53397,41.94179,Motociclo con passeggero,In marcia / fermata / arresto,Suzuki,UH200,0,
,VIA ADAMELLO,da specificare,,,.,1,0,0,2,12.53397,41.94179,Motociclo con passeggero,In marcia / fermata / arresto,Suzuki,UH200,0,NON DECEDUTO
