Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione con,VIA PONTINA,VIA PONTINA,,0,0,0,2,12.45710,41.80991,Autovettura privata,In marcia / fermata / arresto,Mercedes,C 250,0,
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione con,VIA PONTINA,VIA PONTINA,,0,0,0,2,12.45710,41.80991,Autovettura privata,In marcia / fermata / arresto,BMW,Mini,0,
Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,0,0,0,2,12.57527,41.89489,Autovettura privata,In marcia / fermata / arresto,Fiat,Brava,0,
Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,0,0,0,2,12.57527,41.89489,Autovettura privata,In marcia / fermata / arresto,Opel,Astra,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Toyota,Auris,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe A 140,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz,0,
Regionale entro l'abitato,VIA CASSIA,in corrispondenza,,del civico n.,,0,0,0,1,12.42788,41.97420,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Autovettura privata,In marcia / fermata / arresto,Citroen,ZX,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Autovettura privata,In marcia / fermata / arresto,Citroen,ZX,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty 400,0,NON DECEDUTO
Strada Urbana,PIAZZA PIO XI,all'intersezione semaforizzata con,VIA ANASTASIO II,VIA ANASTASIO II,,1,0,0,0,12.43807,41.89447,Motociclo a solo,In marcia / fermata / arresto,Honda,Vision,0,NON DECEDUTO
Strada Urbana,VIA CIRO IL GRANDE,in prossimit�,,del civico n.,,1,0,0,1,12.46987,41.83619,,,,,0,NON DECEDUTO
Strada Urbana,VIA CIRO IL GRANDE,in prossimit�,,del civico n.,,1,0,0,1,12.46987,41.83619,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Iveco,Daily 35,0,
Strada Urbana,VIA LA CONTEA,in prossimit�,,del civico n.,,0,0,0,3,12.42116,41.85645,Autovettura privata,In marcia / fermata / arresto,Renault,Megane,0,
Strada Urbana,VIA LA CONTEA,in prossimit�,,del civico n.,,0,0,0,3,12.42116,41.85645,Autovettura privata,In marcia / fermata / arresto,Renault,Megane,0,
Strada Urbana,VIA LA CONTEA,in prossimit�,,del civico n.,,0,0,0,3,12.42116,41.85645,Autovettura privata,In marcia / fermata / arresto,Daimler Chrysler,A180,0,
Strada Urbana,VIA DEL QUADRARO,in corrispondenza,,del civico n.,,1,0,0,1,12.55432,41.86059,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Ducato,0,
Strada Urbana,VIA DEL QUADRARO,in corrispondenza,,del civico n.,,1,0,0,1,12.55432,41.86059,Motociclo a solo,In marcia / fermata / arresto,Yamaha,XCity 250,0,NON DECEDUTO
Regionale,VIA FLAMINIA,in corrispondenza,,della chilometrica,,2,0,0,0,12.47183,41.94192,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf,0,NON DECEDUTO
Regionale,VIA FLAMINIA,in corrispondenza,,della chilometrica,,2,0,0,0,12.47183,41.94192,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf,0,NON DECEDUTO
Strada Urbana,VIA PORTUENSE,da specificare,,,fronte civico 805,0,0,0,4,12.40847,41.84322,Autovettura privata,In marcia / fermata / arresto,Lancia,Y,0,
Strada Urbana,VIA PORTUENSE,da specificare,,,fronte civico 805,0,0,0,4,12.40847,41.84322,Autovettura privata,In marcia / fermata / arresto,Ford,Focus,0,
Strada Urbana,VIA PORTUENSE,da specificare,,,fronte civico 805,0,0,0,4,12.40847,41.84322,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo,0,
Strada Urbana,VIA PORTUENSE,da specificare,,,fronte civico 805,0,0,0,4,12.40847,41.84322,Autovettura privata,In marcia / fermata / arresto,Toyota,Aygo,0,
Strada Urbana,VIA DEI GORDIANI,all'intersezione con,VIA CHECCO DURANTE,VIA CHECCO DURANTE,,1,0,0,1,12.55323,41.88143,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150,0,NON DECEDUTO
Strada Urbana,VIA DEI GORDIANI,all'intersezione con,VIA CHECCO DURANTE,VIA CHECCO DURANTE,,1,0,0,1,12.55323,41.88143,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,
Strada Urbana,VIA LATTANZIO,in prossimit�,,del civico n.,,0,0,0,1,12.44153,41.91187,Quadriciclo leggero,In marcia / fermata / arresto,AIXAM,(non accertato),0,
Strada Urbana,VIALE DELLE MURA GIANICOLENSI,in prossimit�,,del civico n.,,0,0,0,2,12.46129,41.88434,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,
Strada Urbana,VIALE DELLE MURA GIANICOLENSI,in prossimit�,,del civico n.,,0,0,0,2,12.46129,41.88434,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,
Strada Urbana,VIA APPIA NUOVA,in prossimit�,,del civico n.,,2,0,0,2,12.51627,41.87972,,,,,0,NON DECEDUTO
Strada Urbana,VIA APPIA NUOVA,in prossimit�,,del civico n.,,2,0,0,2,12.51627,41.87972,,,,,0,NON DECEDUTO
Strada Urbana,VIA APPIA NUOVA,in prossimit�,,del civico n.,,2,0,0,2,12.51627,41.87972,Autovettura privata,In marcia / fermata / arresto,Opel,Antara,0,
Strada Urbana,VIA APPIA NUOVA,in prossimit�,,del civico n.,,2,0,0,2,12.51627,41.87972,Autovettura privata,In marcia / fermata / arresto,Opel,Antara,0,
Strada Urbana,PIAZZA ENRICO FERMI,all'intersezione con,VIA GEROLAMO CARDANO,VIA GEROLAMO CARDANO,,0,0,0,2,12.46957,41.86423,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
Strada Urbana,PIAZZA ENRICO FERMI,all'intersezione con,VIA GEROLAMO CARDANO,VIA GEROLAMO CARDANO,,0,0,0,2,12.46957,41.86423,Autovettura privata,In marcia / fermata / arresto,Mercedes,Benz 250 D,0,
Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA SCRIBONIO CURIONE,VIA SCRIBONIO CURIONE,,1,0,0,2,12.55304,41.86206,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA SCRIBONIO CURIONE,VIA SCRIBONIO CURIONE,,1,0,0,2,12.55304,41.86206,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA SCRIBONIO CURIONE,VIA SCRIBONIO CURIONE,,1,0,0,2,12.55304,41.86206,Motociclo a solo,In marcia / fermata / arresto,Kymco,Agility 150,0,NON DECEDUTO
Strada Urbana,VIA OSTIENSE,all'intersezione semaforizzata con,PIAZZA DEL GAZOMETRO,PIAZZA DEL GAZOMETRO,,1,0,0,1,12.47961,41.87008,Motociclo a solo,In marcia / fermata / arresto,Piaggio,X 9,0,NON DECEDUTO
Strada Urbana,VIA OSTIENSE,all'intersezione semaforizzata con,PIAZZA DEL GAZOMETRO,PIAZZA DEL GAZOMETRO,,1,0,0,1,12.47961,41.87008,Motociclo a solo,In marcia / fermata / arresto,Piaggio,X 9,0,
Strada Urbana,VIA OSTIENSE,in corrispondenza,,del civico n.,,0,0,0,4,12.47692,41.85382,Autovettura privata,In marcia / fermata / arresto,Nissan,Pixo,0,
Strada Urbana,VIA OSTIENSE,in corrispondenza,,del civico n.,,0,0,0,4,12.47692,41.85382,Autovettura privata,In marcia / fermata / arresto,Nissan,Pixo,0,
Strada Urbana,VIA OSTIENSE,in corrispondenza,,del civico n.,,0,0,0,4,12.47692,41.85382,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva,0,
Strada Urbana,VIA OSTIENSE,in corrispondenza,,del civico n.,,0,0,0,4,12.47692,41.85382,Autovettura privata,In marcia / fermata / arresto,Opel,Meriva,0,
Strada Urbana,VIA TODI,all'intersezione con,VIA MONTEFALCO,VIA MONTEFALCO,,1,0,0,1,12.52914,41.87997,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Doblo',0,
Strada Urbana,VIA TODI,all'intersezione con,VIA MONTEFALCO,VIA MONTEFALCO,,1,0,0,1,12.52914,41.87997,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1,0,NON DECEDUTO
Strada Urbana,VIA FRANCESCO GRIMALDI,in prossimit�,,del civico n.,,0,0,0,4,12.46698,41.86521,Autovettura privata,In marcia / fermata / arresto,Audi,A 2,0,
Strada Urbana,VIA FRANCESCO GRIMALDI,in prossimit�,,del civico n.,,0,0,0,4,12.46698,41.86521,Autovettura privata,In marcia / fermata / arresto,Audi,A 2,0,
Strada Urbana,VIA FRANCESCO GRIMALDI,in prossimit�,,del civico n.,,0,0,0,4,12.46698,41.86521,Autovettura privata,In marcia / fermata / arresto,Audi,A 2,0,
Strada Urbana,VIA FRANCESCO GRIMALDI,in prossimit�,,del civico n.,,0,0,0,4,12.46698,41.86521,Autovettura privata,In marcia / fermata / arresto,Toyota,VERSO,0,
Strada Urbana,VIA ACAIA,da specificare,,,PIAZZA GALERIA,1,0,0,0,12.50677,41.87471,Autovettura privata,In marcia / fermata / arresto,Peugeot,107,0,NON DECEDUTO
Strada Urbana,VIA LA SPEZIA,in corrispondenza,,del civico n.,,0,0,0,2,12.51920,41.88672,Autovettura privata,In marcia / fermata / arresto,Mercedes,A170,0,
Strada Urbana,VIA LA SPEZIA,in corrispondenza,,del civico n.,,0,0,0,2,12.51920,41.88672,Motociclo a solo,In marcia / fermata / arresto,Honda,Chiocciola,0,
Strada Urbana,VIA DI CASAL BRUCIATO,da specificare,,,CIRCA 10 MT PRIMA DI VIA GIUSEPPE DONATI,0,0,0,1,12.54678,41.90644,Autovettura privata,In marcia / fermata / arresto,BMW,320 D,0,
Strada Urbana,VIA DI PORTONACCIO,in corrispondenza,,del civico n.,,0,0,0,3,12.53795,41.89877,Autovettura privata,In marcia / fermata / arresto,Land Rover,Freelander,0,
Strada Urbana,VIA DI PORTONACCIO,in corrispondenza,,del civico n.,,0,0,0,3,12.53795,41.89877,Autovettura privata,In marcia / fermata / arresto,Land Rover,Freelander,0,
Strada Urbana,VIA DI PORTONACCIO,in corrispondenza,,del civico n.,,0,0,0,3,12.53795,41.89877,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Mercedes,412,0,
Strada Urbana,VIA DEI MONTI TIBURTINI,in corrispondenza,,del civico n.,,0,0,0,5,12.55068,41.91459,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Doblo',0,
Strada Urbana,VIA DEI MONTI TIBURTINI,in corrispondenza,,del civico n.,,0,0,0,5,12.55068,41.91459,Autovettura privata,In marcia / fermata / arresto,Renault,Modus,0,
Strada Urbana,VIA DEI MONTI TIBURTINI,in corrispondenza,,del civico n.,,0,0,0,5,12.55068,41.91459,Autovettura privata,In marcia / fermata / arresto,Mercedes,MB203,0,
Strada Urbana,VIA DEI MONTI TIBURTINI,in corrispondenza,,del civico n.,,0,0,0,5,12.55068,41.91459,Autovettura privata,In marcia / fermata / arresto,Mercedes,MB203,0,
Strada Urbana,VIA DEI MONTI TIBURTINI,in corrispondenza,,del civico n.,,0,0,0,5,12.55068,41.91459,Autovettura privata,In marcia / fermata / arresto,Mercedes,MB203,0,
Strada Urbana,VIA DI S. GREGORIO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,3,0,0,2,12.48997,41.88771,Autovettura privata,In marcia / fermata / arresto,Opel,Astra,0,
Strada Urbana,VIA DI S. GREGORIO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,3,0,0,2,12.48997,41.88771,Autovettura privata,In marcia / fermata / arresto,Opel,Astra,0,
Strada Urbana,VIA DI S. GREGORIO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,3,0,0,2,12.48997,41.88771,Motociclo a solo,In marcia / fermata / arresto,Aprilia,(non accertato),0,NON DECEDUTO
Strada Urbana,VIA DI S. GREGORIO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,3,0,0,2,12.48997,41.88771,Motociclo a solo,In marcia / fermata / arresto,Piaggio,(non accertato),0,NON DECEDUTO
Strada Urbana,VIA DI S. GREGORIO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,3,0,0,2,12.48997,41.88771,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Scarabeo,0,NON DECEDUTO
Strada Urbana,VIA DEL CAMPO,in corrispondenza,,del civico n.,,0,0,0,2,12.57774,41.87682,Autovettura privata,In marcia / fermata / arresto,Fiat,Idea,0,
Strada Urbana,VIA DEL CAMPO,in corrispondenza,,del civico n.,,0,0,0,2,12.57774,41.87682,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,164,0,
Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA DELLE CAPANNELLE,VIA DELLE CAPANNELLE,,1,0,0,1,12.57546,41.84830,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto,0,
Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA DELLE CAPANNELLE,VIA DELLE CAPANNELLE,,1,0,0,1,12.57546,41.84830,Motociclo a solo,In marcia / fermata / arresto,Honda,SH,0,NON DECEDUTO
Strada Urbana,VIA FILIPPO ANTONIO GUALTERIO,da specificare,,,altezza via P. FOSCARI,0,0,0,5,12.51738,41.95222,Autovettura privata,In marcia / fermata / arresto,Fiat,600,0,
Strada Urbana,VIA FILIPPO ANTONIO GUALTERIO,da specificare,,,altezza via P. FOSCARI,0,0,0,5,12.51738,41.95222,Autovettura privata,In marcia / fermata / arresto,Fiat,600,0,
Strada Urbana,VIA FILIPPO ANTONIO GUALTERIO,da specificare,,,altezza via P. FOSCARI,0,0,0,5,12.51738,41.95222,Autovettura privata,In marcia / fermata / arresto,Fiat,600,0,
Strada Urbana,VIA FILIPPO ANTONIO GUALTERIO,da specificare,,,altezza via P. FOSCARI,0,0,0,5,12.51738,41.95222,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA FILIPPO ANTONIO GUALTERIO,da specificare,,,altezza via P. FOSCARI,0,0,0,5,12.51738,41.95222,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA UGO DE CAROLIS,in corrispondenza,,del civico n.,,1,0,0,1,12.43944,41.91663,,,,,0,NON DECEDUTO
Strada Urbana,VIA UGO DE CAROLIS,in corrispondenza,,del civico n.,,1,0,0,1,12.43944,41.91663,Autovettura privata,In marcia / fermata / arresto,Toyota,Rav 4,0,
Strada Urbana,VIALE CARMELO BENE,all'intersezione semaforizzata con,VIA MARIO SOLDATI,VIA MARIO SOLDATI,,1,0,0,1,12.53712,41.97217,Autovettura privata,In marcia / fermata / arresto,Peugeot,207,0,
Strada Urbana,VIALE CARMELO BENE,all'intersezione semaforizzata con,VIA MARIO SOLDATI,VIA MARIO SOLDATI,,1,0,0,1,12.53712,41.97217,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty,0,NON DECEDUTO
Strada Urbana,VIA OSTIENSE,in prossimit�,,del civico n.,,1,0,0,1,12.48062,41.87505,,,,,0,NON DECEDUTO
Strada Urbana,VIA OSTIENSE,in prossimit�,,del civico n.,,1,0,0,1,12.48062,41.87505,Autovettura privata,In marcia / fermata / arresto,Volkswagen,FOX,0,
Strada Urbana,VIALE MANZONI,all'intersezione con,VIA LUIGI LUZZATTI,VIA LUIGI LUZZATTI,,1,0,0,1,12.50773,41.89118,Autovettura privata,In marcia / fermata / arresto,Toyota,Rav 4,0,
Strada Urbana,VIALE MANZONI,all'intersezione con,VIA LUIGI LUZZATTI,VIA LUIGI LUZZATTI,,1,0,0,1,12.50773,41.89118,Velocipede,In marcia / fermata / arresto,Moser,(non accertato),0,NON DECEDUTO
Strada Urbana,VIALE JONIO,in prossimit�,,del civico n.,,0,0,0,1,12.54122,41.94333,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf,0,
Strada Urbana,VIA RENATO FUCINI,da specificare,,,in prossimit� del fronte civico 6,0,0,0,3,12.54952,41.94986,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo Coup�,0,
Strada Urbana,VIA RENATO FUCINI,da specificare,,,in prossimit� del fronte civico 6,0,0,0,3,12.54952,41.94986,Autovettura privata,In marcia / fermata / arresto,Dacia,Sandero,0,
Strada Urbana,VIA RENATO FUCINI,da specificare,,,in prossimit� del fronte civico 6,0,0,0,3,12.54952,41.94986,Autovettura privata,In marcia / fermata / arresto,Dacia,Sandero,0,
Strada Urbana,LUNGOTEVERE IN AUGUSTA,in corrispondenza,,del palo luce n.,,0,0,0,3,12.47474,41.90766,Autovettura privata,In marcia / fermata / arresto,Volvo,S 60,0,
Strada Urbana,LUNGOTEVERE IN AUGUSTA,in corrispondenza,,del palo luce n.,,0,0,0,3,12.47474,41.90766,Autovettura privata,In marcia / fermata / arresto,Volvo,S 60,0,
Strada Urbana,LUNGOTEVERE IN AUGUSTA,in corrispondenza,,del palo luce n.,,0,0,0,3,12.47474,41.90766,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione semaforizzata con,VIALE DEI ROMANISTI,VIALE DEI ROMANISTI,,0,0,0,3,12.56816,41.86958,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione semaforizzata con,VIALE DEI ROMANISTI,VIALE DEI ROMANISTI,,0,0,0,3,12.56816,41.86958,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione semaforizzata con,VIALE DEI ROMANISTI,VIALE DEI ROMANISTI,,0,0,0,3,12.56816,41.86958,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris,0,
Strada Urbana,VIA FRATELLI GUALANDI,all'intersezione con,VIA OTTAVIO ASSAROTTI,VIA OTTAVIO ASSAROTTI,,3,0,0,1,12.42164,41.94236,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,NON DECEDUTO
Strada Urbana,VIA FRATELLI GUALANDI,all'intersezione con,VIA OTTAVIO ASSAROTTI,VIA OTTAVIO ASSAROTTI,,3,0,0,1,12.42164,41.94236,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,NON DECEDUTO
Strada Urbana,VIA FRATELLI GUALANDI,all'intersezione con,VIA OTTAVIO ASSAROTTI,VIA OTTAVIO ASSAROTTI,,3,0,0,1,12.42164,41.94236,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,NON DECEDUTO
Strada Urbana,VIA FRATELLI GUALANDI,all'intersezione con,VIA OTTAVIO ASSAROTTI,VIA OTTAVIO ASSAROTTI,,3,0,0,1,12.42164,41.94236,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf,0,
Strada Urbana,VIALE MARESCIALLO PILSUDSKI,all'intersezione con,VIA GUIDUBALDO DEL MONTE,VIA GUIDUBALDO DEL MONTE,,0,0,0,2,12.47780,41.92855,Autovettura privata,In marcia / fermata / arresto,BMW,118 D,0,
Strada Urbana,VIALE MARESCIALLO PILSUDSKI,all'intersezione con,VIA GUIDUBALDO DEL MONTE,VIA GUIDUBALDO DEL MONTE,,0,0,0,2,12.47780,41.92855,Autovettura privata,In marcia / fermata / arresto,Suzuki,Swift,0,
Strada Urbana,VIA ANDREA BARBATO,all'intersezione con,VIA RUGGERO ORLANDO,VIA RUGGERO ORLANDO,,1,0,0,1,12.39916,41.92850,Autovettura privata,In marcia / fermata / arresto,Lancia,Y,0,
Strada Urbana,VIA ANDREA BARBATO,all'intersezione con,VIA RUGGERO ORLANDO,VIA RUGGERO ORLANDO,,1,0,0,1,12.39916,41.92850,Motociclo a solo,In marcia / fermata / arresto,Yamaha,TMAX,0,NON DECEDUTO
Strada Urbana,VIA GUIDUBALDO DEL MONTE,in prossimit�,,del civico n.,,0,0,0,2,12.47928,41.92790,Autovettura privata,In marcia / fermata / arresto,Mitsubishi,Colt,0,
Strada Urbana,VIA GUIDUBALDO DEL MONTE,in prossimit�,,del civico n.,,0,0,0,2,12.47928,41.92790,Motociclo a solo,In marcia / fermata / arresto,Ducati,Motor Holding,0,
Strada Urbana,VIA APPIA NUOVA,all'intersezione semaforizzata con,PIAZZALE APPIO,PIAZZALE APPIO,,0,0,0,2,12.52585,41.87518,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,Nuova Giulietta,0,
Strada Urbana,VIA APPIA NUOVA,all'intersezione semaforizzata con,PIAZZALE APPIO,PIAZZALE APPIO,,0,0,0,2,12.52585,41.87518,Motociclo a solo,In marcia / fermata / arresto,Honda,SH,0,
Strada Urbana,PIAZZA DELLE CINQUE GIORNATE,in prossimit�,,del civico n.,,0,0,0,2,12.46941,41.91400,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,PIAZZA DELLE CINQUE GIORNATE,in prossimit�,,del civico n.,,0,0,0,2,12.46941,41.91400,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto,0,
Strada Urbana,VIA COLLATINA,in prossimit�,,del civico n.,,1,0,0,3,12.61286,41.90411,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,
Strada Urbana,VIA COLLATINA,in prossimit�,,del civico n.,,1,0,0,3,12.61286,41.90411,Autovettura privata,In marcia / fermata / arresto,Renault,Clio,0,NON DECEDUTO
Strada Urbana,VIA COLLATINA,in prossimit�,,del civico n.,,1,0,0,3,12.61286,41.90411,Autovettura privata,In marcia / fermata / arresto,Suzuki,Ignis,0,
Strada Urbana,VIA COLLATINA,in prossimit�,,del civico n.,,1,0,0,3,12.61286,41.90411,Autovettura privata,In marcia / fermata / arresto,Suzuki,Ignis,0,
Strada Urbana,VIA AURELIA,in prossimit�,,del civico n.,,1,0,0,2,12.41603,41.89431,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,MITO,0,
Strada Urbana,VIA AURELIA,in prossimit�,,del civico n.,,1,0,0,2,12.41603,41.89431,Motociclo a solo,In marcia / fermata / arresto,Yamaha,MT 03,0,NON DECEDUTO
Strada Urbana,VIA AURELIA,in prossimit�,,del civico n.,,1,0,0,2,12.41603,41.89431,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,VIA DEI CERCHI,all'intersezione semaforizzata con,VIA DELL'ARA MASSIMA DI ERCOLE,VIA DELL'ARA MASSIMA DI ERCOLE,,0,0,0,2,12.48588,41.88671,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Iveco,Trakker,0,
Strada Urbana,VIA DEI CERCHI,all'intersezione semaforizzata con,VIA DELL'ARA MASSIMA DI ERCOLE,VIA DELL'ARA MASSIMA DI ERCOLE,,0,0,0,2,12.48588,41.88671,Autovettura pubblica,In marcia / fermata / arresto,Mercedes,E 220,0,
Strada Urbana,VIA DI TORREVECCHIA,all'intersezione con,VIA FRANCESCO GIOVANNI COMMENDONE,VIA FRANCESCO GIOVANNI COMMENDONE,,0,0,0,3,12.40763,41.91556,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra,0,
Strada Urbana,VIA DI TORREVECCHIA,all'intersezione con,VIA FRANCESCO GIOVANNI COMMENDONE,VIA FRANCESCO GIOVANNI COMMENDONE,,0,0,0,3,12.40763,41.91556,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra,0,
Strada Urbana,VIA DI TORREVECCHIA,all'intersezione con,VIA FRANCESCO GIOVANNI COMMENDONE,VIA FRANCESCO GIOVANNI COMMENDONE,,0,0,0,3,12.40763,41.91556,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa,0,
Strada Urbana,VIA DI BOCCEA,in prossimit�,,del civico n.,,0,0,0,4,12.40153,41.90950,Autovettura privata,In marcia / fermata / arresto,Renault,Modus,0,
Strada Urbana,VIA DI BOCCEA,in prossimit�,,del civico n.,,0,0,0,4,12.40153,41.90950,Autovettura privata,In marcia / fermata / arresto,Nissan,Micra,0,
Strada Urbana,VIA DI BOCCEA,in prossimit�,,del civico n.,,0,0,0,4,12.40153,41.90950,Autovettura privata,In marcia / fermata / arresto,Fiat,Sedici,0,
Strada Urbana,VIA DI BOCCEA,in prossimit�,,del civico n.,,0,0,0,4,12.40153,41.90950,Autocarro inferiore 35 q.,In marcia / fermata / arresto, Mercedes ,(non accertato),0,
,VIA GREGORIO VII,da specificare,,,in corrispondenza dei civ. 33/35,2,0,0,0,12.44068,41.89613,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty,0,NON DECEDUTO
,VIA GREGORIO VII,da specificare,,,in corrispondenza dei civ. 33/35,2,0,0,0,12.44068,41.89613,Velocipede,In marcia / fermata / arresto,(ignoto),(non accertato),0,NON DECEDUTO
Strada Urbana,VIA DELLE TRE FONTANE,da specificare,,,20 metri prima di viale di Val Fiorita,1,0,0,1,12.47358,41.83934,Velocipede,In marcia / fermata / arresto,Basso,(ignoto),0,NON DECEDUTO
Strada Urbana,VIA DELLE TRE FONTANE,da specificare,,,20 metri prima di viale di Val Fiorita,1,0,0,1,12.47358,41.83934,Autovettura privata,In marcia / fermata / arresto,Mercedes,A 180,0,
Strada Urbana,VIALE DELLA MOSCHEA,da specificare,,,prossimit� fronte Via A. Magnani,0,0,0,3,12.49508,41.93413,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa,0,
Strada Urbana,VIALE DELLA MOSCHEA,da specificare,,,prossimit� fronte Via A. Magnani,0,0,0,3,12.49508,41.93413,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Punto,0,
