stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
72200,72200,CASSIA/BELARDINELLI,100 M. DOPO SBOCCO VIA P.BETTOLI FRONTE CIVICO 1865    S.S.2,42.019095,12.376951,,http://muovi.roma.it/percorso/js?query=72200&cl=1,,,Europe/Rome,0
72201,72201,LABICANA,10 M. PRIMA P.ZA S.CLEMENTE  (CORSIA CENTRALE),41.889769,12.498090,,http://muovi.roma.it/percorso/js?query=72201&cl=1,,,Europe/Rome,0
72202,72202,BRAGAGLIA,40 M. DOPO VIA CASSIA ALTEZZA CENTRO COMMERCIALE,42.022042,12.376040,,http://muovi.roma.it/percorso/js?query=72202&cl=1,,,Europe/Rome,0
72203,72203,VICO LODOVICI,20 M. DOPO SBOCCO VIA BRAGAGLIA PRIMA VIA ANTONIO CONTI,42.022116,12.373501,,http://muovi.roma.it/percorso/js?query=72203&cl=1,,,Europe/Rome,0
72204,72204,P.ZA S. CROCE IN GERUSALEMME,50 M.DOPO SBOCCO VIA S.CROCE IN GERUSALEMME CORSIA CENTRALE,41.889165,12.515201,,http://muovi.roma.it/percorso/js?query=72204&cl=1,,,Europe/Rome,0
72205,72205,CONTI ANTONIO,45 M. DOPO FRONTE CIVICO 67,42.020967,12.371613,,http://muovi.roma.it/percorso/js?query=72205&cl=1,,,Europe/Rome,0
72206,72206,CONTI ANTONIO/PULLE',15 M. PRIMA VIA PULLE' - CAPOLINEA 201-N25,42.019561,12.369088,,http://muovi.roma.it/percorso/js?query=72206&cl=1,,,Europe/Rome,0
72207,72207,MILLEVOI,ALTEZZA CIVICO 85 - CAPOLINEA 766,41.821595,12.517936,,http://muovi.roma.it/percorso/js?query=72207&cl=1,,,Europe/Rome,0
72208,72208,SERAFICO,ALTEZZA CIVICO 170,41.832297,12.491472,,http://muovi.roma.it/percorso/js?query=72208&cl=1,,,Europe/Rome,0
72209,72209,CONTI ANTONIO,10 M. PRIMA CIVICO 67,42.021048,12.372025,,http://muovi.roma.it/percorso/js?query=72209&cl=1,,,Europe/Rome,0
72211,72211,VICO LODOVICI,50 M. PRIMA VIA BRAGAGLIA PRIMA CIVICO 19,42.021954,12.373432,,http://muovi.roma.it/percorso/js?query=72211&cl=1,,,Europe/Rome,0
